[1/3/2021 0:29:55] /a 10
[1/3/2021 0:29:55] /a 10
[1/3/2021 0:29:55] /a 10
[1/3/2021 0:29:56] /a 10
[1/3/2021 0:29:56] /a 10
[1/3/2021 0:29:56] /a 10
[1/3/2021 0:29:57] /a 10
[1/3/2021 0:29:57] /a 10
[1/3/2021 0:29:57] /a 10
[1/3/2021 0:29:58] /a 10
[1/3/2021 0:37:55] /goto hyro
[1/3/2021 0:38:33] /down
[1/3/2021 0:38:35] /a 2
[1/3/2021 0:38:36] /a 2
[1/3/2021 0:38:39] /a 30
[1/3/2021 0:38:39] /a 30
[1/3/2021 0:38:41] /a 30
[1/3/2021 0:38:44] /a 30
[2/3/2021 2:37:28] /b Quer se tornar um [TUTOR] ? preencha o formulario que se encontra na sala do discord ( Importante ), e aguarde a resposta.
[2/3/2021 2:37:28] /b Quer se tornar um [TUTOR] ? preencha o formulario que se encontra na sala do discord ( Importante ), e aguarde a resposta.
[2/3/2021 2:37:28] /b Quer se tornar um [TUTOR] ? preencha o formulario que se encontra na sala do discord ( Importante ), e aguarde a resposta.
[2/3/2021 2:37:28] /b Quer se tornar um [TUTOR] ? preencha o formulario que se encontra na sala do discord ( Importante ), e aguarde a resposta.
[2/3/2021 2:37:29] /b Quer se tornar um [TUTOR] ? preencha o formulario que se encontra na sala do discord ( Importante ), e aguarde a resposta.
[2/3/2021 2:37:29] /b Quer se tornar um [TUTOR] ? preencha o formulario que se encontra na sala do discord ( Importante ), e aguarde a resposta.
[2/3/2021 2:37:29] /b Quer se tornar um [TUTOR] ? preencha o formulario que se encontra na sala do discord ( Importante ), e aguarde a resposta.
[2/3/2021 2:37:29] /b Quer se tornar um [TUTOR] ? preencha o formulario que se encontra na sala do discord ( Importante ), e aguarde a resposta.
[2/3/2021 2:37:30] /b Quer se tornar um [TUTOR] ? preencha o formulario que se encontra na sala do discord ( Importante ), e aguarde a resposta.
[2/3/2021 2:38:19] /a 10
[2/3/2021 2:38:20] /a 10
[2/3/2021 2:38:20] /a 10
[2/3/2021 2:38:20] /a 10
[2/3/2021 2:38:21] /a 10
[2/3/2021 2:38:21] /a 10
[2/3/2021 2:38:21] /a 10
[2/3/2021 2:38:21] /a 10
[2/3/2021 2:38:22] /a 10
[2/3/2021 2:38:23] /a 10
[2/3/2021 2:38:23] /a 10
[2/3/2021 2:38:24] /a 10
[2/3/2021 2:38:24] /a 10
[2/3/2021 2:38:25] /a 10
[2/3/2021 2:38:26] /a 10
[2/3/2021 2:38:27] /a 10
[2/3/2021 2:38:28] /a 10
[2/3/2021 2:39:27] /a 10
[2/3/2021 2:39:27] /a 10
[2/3/2021 2:39:27] /a 10
[2/3/2021 2:39:28] /a 10
[2/3/2021 2:39:29] /a 10
[2/3/2021 2:39:30] /a 10
[2/3/2021 2:39:30] /a 10
[2/3/2021 2:39:30] /a 10
[2/3/2021 2:39:31] /a 10
[2/3/2021 2:39:31] /a 10
[2/3/2021 2:39:32] /a 10
[2/3/2021 2:39:33] /a 10
[2/3/2021 2:59:37] /i Otsutsuki Unic Boots
[2/3/2021 3:1:54] /b Portas ajustadas!!
[2/3/2021 3:2:33] /t
[2/3/2021 3:2:51] /goto crystal vilareijo
[2/3/2021 3:2:56] /goto crystal vilarejo
[2/3/2021 3:3:5] /c zeus
[2/3/2021 3:3:10] /t zeus
[2/3/2021 3:3:12] /t
[2/3/2021 3:37:17] /goto tuff
[2/3/2021 3:38:2] /goto premium task
[2/3/2021 3:38:28] /m samurai on
[2/3/2021 3:38:28] /m samurai on
[2/3/2021 3:38:28] /m samurai on
[2/3/2021 3:38:30] /m samurai one
[2/3/2021 3:38:31] /m samurai one
[2/3/2021 3:38:31] /m samurai one
[2/3/2021 3:38:31] /m samurai one
[2/3/2021 3:38:31] /m samurai one
[2/3/2021 3:38:32] /m samurai one
[2/3/2021 3:38:37] /m samurai one
[2/3/2021 3:38:37] /m samurai one
[2/3/2021 3:38:37] /m samurai one
[2/3/2021 3:38:38] /m samurai one/m samurai one/m samurai one/m samurai one
[2/3/2021 3:38:39] /m samurai one
[2/3/2021 3:38:39] /m samurai one
[2/3/2021 3:38:39] /m samurai one
[2/3/2021 3:38:40] /m samurai one
[2/3/2021 3:38:40] /m samurai one
[2/3/2021 3:39:0] /save
[2/3/2021 3:39:20] /b Galerinha daqui 10 minutos terei que reiniciar o game! 
[2/3/2021 3:39:26] /b Galerinha daqui 10 minutos terei que reiniciar o game! 
[2/3/2021 3:39:26] /b Galerinha daqui 10 minutos terei que reiniciar o game! 
[2/3/2021 3:39:27] /b Galerinha daqui 10 minutos terei que reiniciar o game! 
[2/3/2021 3:39:27] /b Galerinha daqui 10 minutos terei que reiniciar o game! 
[2/3/2021 3:39:27] /b Galerinha daqui 10 minutos terei que reiniciar o game! 
[2/3/2021 3:39:28] /b Galerinha daqui 10 minutos terei que reiniciar o game! 
[2/3/2021 3:39:51] /save
[2/3/2021 3:39:54] /reload item
[2/3/2021 3:45:4] /t
[2/3/2021 3:45:45] /b Pensando melhor, não era bom nem ter deixado o Vilarejo hoje. 
[2/3/2021 3:45:58] /shutdown 5
[2/3/2021 3:48:11] /b Vou deixar sem vilarejo até sabado. Para todos ter chances iguais.
[2/3/2021 3:51:30] /r
[2/3/2021 3:52:28] /goto premium task
[2/3/2021 3:52:46] /t
[2/3/2021 3:53:5] /r
[2/3/2021 3:53:12] /m premium task
[2/3/2021 3:53:16] /n premium task
[2/3/2021 3:53:20] /c premium task
[2/3/2021 3:53:55] /b NPC do passe adicionado! Bau removido.
[2/3/2021 3:53:56] /b NPC do passe adicionado! Bau removido.
[2/3/2021 3:53:56] /b NPC do passe adicionado! Bau removido.
[2/3/2021 3:53:57] /b NPC do passe adicionado! Bau removido.
[2/3/2021 3:53:57] /b NPC do passe adicionado! Bau removido.
[2/3/2021 3:53:57] /b NPC do passe adicionado! Bau removido.
[2/3/2021 3:59:22] /goto red shaolin
[2/3/2021 3:59:36] /m red shaolin
[2/3/2021 3:59:36] /m red shaolin
[2/3/2021 3:59:36] /m red shaolin
[2/3/2021 3:59:37] /m red shaolin
[2/3/2021 3:59:44] /m red shaolin
[2/3/2021 3:59:44] /m red shaolin
[2/3/2021 3:59:44] /m red shaolin
[2/3/2021 3:59:45] /m red shaolin
[2/3/2021 3:59:45] /m red shaolin
[2/3/2021 3:59:52] /m red shaolin
[2/3/2021 3:59:53] /m red shaolin
[2/3/2021 3:59:53] /m red shaolin
[2/3/2021 3:59:54] /m red shaolin/m red shaolin
[2/3/2021 3:59:55] /m red shaolin
[2/3/2021 4:0:0] /m red shaolin
[2/3/2021 4:0:0] /m red shaolin
[2/3/2021 4:0:0] /m red shaolin
[2/3/2021 4:0:1] /m red shaolin
[2/3/2021 4:0:1] /m red shaolin
[2/3/2021 4:0:19] /m red shaolin
[2/3/2021 4:0:20] /m red shaolin
[2/3/2021 4:0:20] /m red shaolin
[2/3/2021 4:0:20] /m red shaolin
[2/3/2021 4:0:20] /m red shaolin
[2/3/2021 4:0:21] /m red shaolin
[2/3/2021 4:0:21] /m red shaolin
[2/3/2021 4:0:21] /m red shaolin
[2/3/2021 4:0:41] /m red shaolin
[2/3/2021 4:0:41] /m red shaolin
[2/3/2021 4:0:42] /m red shaolin
[2/3/2021 4:0:42] /m red shaolin
[2/3/2021 4:0:42] /m red shaolin
[2/3/2021 4:0:43] /m red shaolin
[2/3/2021 4:0:43] /m red shaolin
[2/3/2021 4:0:43] /m red shaolin
[2/3/2021 4:0:43] /m red shaolin
[2/3/2021 4:1:40] /goto rock lee
[2/3/2021 4:2:16] /goto Ten Ten
[2/3/2021 4:14:33] /reload monster
[2/3/2021 4:29:37] /goto Hades
[2/3/2021 4:35:32] /t
[2/3/2021 4:35:38] /goto rock lee
[2/3/2021 4:41:12] /reload spells
[2/3/2021 4:41:35] /save
[2/3/2021 21:30:42] /c teste
[2/3/2021 21:33:41] /goto poseidon
[2/3/2021 21:34:5] /goto premium task
[2/3/2021 21:34:9] /c poseidon
[2/3/2021 21:56:30] /b Quem ai tem Rock Lee 300 + para testar ?
[2/3/2021 22:4:19] /goto ximbica
[2/3/2021 22:17:31] /goto ximbica
[2/3/2021 22:17:33] /goto ximbica
[2/3/2021 22:17:34] /goto ximbica
[2/3/2021 22:17:35] /goto ximbica
[2/3/2021 22:17:41] /goto ximbica
[2/3/2021 22:17:42] /goto ximbica
[2/3/2021 22:17:48] /goto ximbica
[2/3/2021 22:17:49] /goto ximbica
[2/3/2021 22:17:51] /goto ximbica
[2/3/2021 22:18:4] /goto ximbica
[2/3/2021 22:18:5] /goto ximbica
[2/3/2021 22:18:6] /goto ximbica
[2/3/2021 22:18:7] /goto ximbica
[2/3/2021 22:18:8] /goto ximbica
[2/3/2021 22:18:9] /goto ximbica
[2/3/2021 22:18:10] /goto ximbica
[2/3/2021 22:18:10] /goto ximbica
[2/3/2021 22:18:11] /goto ximbica
[2/3/2021 22:18:12] /goto ximbica
[2/3/2021 22:18:12] /goto ximbica
[2/3/2021 22:18:13] /goto ximbica
[2/3/2021 22:18:17] /goto ximbica
[2/3/2021 22:18:52] /t
[2/3/2021 22:23:52] /a 40
[2/3/2021 22:23:52] /a 40
[2/3/2021 22:23:53] /a 40
[2/3/2021 22:23:56] /a 40
[2/3/2021 22:23:57] /a 40
[2/3/2021 22:23:57] /a 40
[2/3/2021 22:23:59] /a 10
[2/3/2021 22:24:0] /a 10
[2/3/2021 22:24:1] /a 10
[2/3/2021 22:24:2] /a 10
[2/3/2021 22:24:13] /c kottyh
[2/3/2021 22:24:17] /c kottyh
[2/3/2021 22:24:18] /c kottyh
[2/3/2021 22:24:18] /c kottyh
[2/3/2021 22:24:18] /c kottyh
[2/3/2021 22:24:24] /c kottyh
[2/3/2021 22:25:0] /c Fearless Damage
[2/3/2021 23:16:18] /s trainer
[2/3/2021 23:16:22] /m wolf
[2/3/2021 23:16:48] /up
[2/3/2021 23:25:41] /goto Ten Ten
[2/3/2021 23:27:21] /t
[2/3/2021 23:55:0] /reload globalevents
[2/3/2021 23:59:19] /i 1025
[2/3/2021 23:59:20] /i 1025
[2/3/2021 23:59:21] /i 1025
[3/3/2021 0:13:7] /reload globalevents
[3/3/2021 0:24:59] /a 10
[3/3/2021 0:24:59] /a 10
[3/3/2021 0:25:0] /a 10
[3/3/2021 0:25:2] /a 10
[3/3/2021 0:25:3] /a 
[3/3/2021 0:25:7] /a 1
[3/3/2021 0:25:9] /a 1
[3/3/2021 0:51:11] /goto premium task
[3/3/2021 0:51:16] /goto premium task
[3/3/2021 0:51:23] /goto ootsuko
[3/3/2021 0:51:28] /goto otsuko
[3/3/2021 0:51:32] /t
[3/3/2021 0:52:50] /a 10
[3/3/2021 0:52:51] /a 10
[3/3/2021 0:52:51] /a 10
[3/3/2021 0:52:52] /a 10
[3/3/2021 0:52:53] /a 10
[3/3/2021 0:52:55] /a 10
[3/3/2021 0:52:56] /a 10
[3/3/2021 0:52:57] /a 10
[3/3/2021 0:53:58] /b Formulario Para 3 Tutores, em 3 horarios diferentes! Disponivel no discord.
[3/3/2021 0:53:58] /b Formulario Para 3 Tutores, em 3 horarios diferentes! Disponivel no discord.
[3/3/2021 0:53:59] /b Formulario Para 3 Tutores, em 3 horarios diferentes! Disponivel no discord.
[3/3/2021 0:53:59] /b Formulario Para 3 Tutores, em 3 horarios diferentes! Disponivel no discord.
[3/3/2021 0:53:59] /b Formulario Para 3 Tutores, em 3 horarios diferentes! Disponivel no discord.
[3/3/2021 0:53:59] /b Formulario Para 3 Tutores, em 3 horarios diferentes! Disponivel no discord.
[3/3/2021 0:54:0] /b Formulario Para 3 Tutores, em 3 horarios diferentes! Disponivel no discord.
[3/3/2021 0:54:0] /b Formulario Para 3 Tutores, em 3 horarios diferentes! Disponivel no discord.
[3/3/2021 0:54:0] /b Formulario Para 3 Tutores, em 3 horarios diferentes! Disponivel no discord.
[3/3/2021 0:54:5] /a 40
[3/3/2021 0:54:5] /a 40
[3/3/2021 0:54:6] /a 40
[3/3/2021 0:54:7] /a 40
[3/3/2021 0:54:8] /a 40
[3/3/2021 0:54:8] /a 40
[3/3/2021 0:54:9] /a 40
[3/3/2021 0:54:12] /a 10
[3/3/2021 1:11:48] /reload spells
[3/3/2021 1:32:10] /i chakra shuriken
[3/3/2021 1:35:56] /goto tuff
[3/3/2021 1:35:58] /goto tuff
[3/3/2021 1:39:37] /t
[3/3/2021 2:59:23] /goto Origamii Naa Face
[3/3/2021 3:0:28] /t
[3/3/2021 3:3:35] /goto Taylor The One
[3/3/2021 3:3:42] /goto Taylor The One
[3/3/2021 3:3:50] /goto Taylor The One
[3/3/2021 3:14:33] /i akatsuki hat
[3/3/2021 3:15:32] /i 2160
[3/3/2021 3:15:42] /t
[3/3/2021 3:17:31] /goto Taylor The One
[3/3/2021 3:18:36] /goto Taylor The One
[3/3/2021 3:18:40] /goto Taylor The One
[3/3/2021 3:18:45] /goto Taylor The One
[3/3/2021 3:18:52] /goto Taylor The One
[3/3/2021 3:19:18] /goto Taylor The One
[3/3/2021 3:20:22] /ghost
[3/3/2021 3:21:21] /c teste
[3/3/2021 3:21:28] /c teste
[3/3/2021 3:21:32] /c teste
[3/3/2021 3:22:21] /b vou reiniciaro servidor rapidinho
[3/3/2021 3:22:23] /shutdown 1
[3/3/2021 3:24:12] /c teste
[3/3/2021 3:27:8] /m black snake
[3/3/2021 3:27:15] /m black snake
[3/3/2021 3:27:34] /r
[3/3/2021 3:27:36] /r
[3/3/2021 3:27:46] /c taylor the one
[3/3/2021 3:28:24] /c teste
[3/3/2021 3:29:10] /c teste
[3/3/2021 3:29:29] /c teste
[3/3/2021 3:30:14] /m black anbu
[3/3/2021 3:31:32] /c teste
[3/3/2021 3:32:39] /c teste
[3/3/2021 3:32:47] /c teste/c teste
[3/3/2021 3:32:48] /c teste
[3/3/2021 3:34:42] /b Galera, vou reiniciar novamente, achei um bug severo, e estou tentando arrumar.
[3/3/2021 3:34:45] /b Galera, vou reiniciar novamente, achei um bug severo, e estou tentando arrumar.
[3/3/2021 3:34:45] /b Galera, vou reiniciar novamente, achei um bug severo, e estou tentando arrumar.
[3/3/2021 3:34:46] /b Galera, vou reiniciar novamente, achei um bug severo, e estou tentando arrumar.
[3/3/2021 3:34:46] /b Galera, vou reiniciar novamente, achei um bug severo, e estou tentando arrumar.
[3/3/2021 3:34:46] /b Galera, vou reiniciar novamente, achei um bug severo, e estou tentando arrumar.
[3/3/2021 3:34:56] /shutdown 2
[3/3/2021 3:35:5] /c teste 
[3/3/2021 3:35:25] /c teste
[3/3/2021 3:35:30] /c teste
[3/3/2021 3:39:35] /i akatsuki tunic
[3/3/2021 3:39:46] /i akatsuki coat
[3/3/2021 3:40:7] /i 2145
[3/3/2021 3:41:5] /i 2160
[3/3/2021 3:41:10] /i akatsuki hat
[3/3/2021 3:41:36] /r
[3/3/2021 3:42:6] /i chakra potion
[3/3/2021 3:42:8] /i chakra potion
[3/3/2021 3:42:8] /i chakra potion
[3/3/2021 3:42:8] /i chakra potion
[3/3/2021 3:42:10] /i chakra potion
[3/3/2021 3:42:11] /i chakra potion
[3/3/2021 3:42:11] /i chakra potion
[3/3/2021 3:42:11] /i chakra potion
[3/3/2021 3:42:12] /i chakra potion
[3/3/2021 3:42:16] /i chakra potion
[3/3/2021 3:42:16] /i chakra potion
[3/3/2021 3:42:17] /i chakra potion
[3/3/2021 3:42:20] /i chakra potion
[3/3/2021 3:43:13] /i health potion
[3/3/2021 3:43:25] /i health potion
[3/3/2021 3:43:29] /n sakura
[3/3/2021 3:43:33] /c sakura
[3/3/2021 3:43:49] /n [BUY]Sakura
[3/3/2021 3:45:21] /n [BUY] Sakura
[3/3/2021 3:45:27] /c [BUY] Sakura
[3/3/2021 3:45:40] /i life potion
[3/3/2021 3:45:41] /i life potion
[3/3/2021 3:45:41] /i life potion
[3/3/2021 3:45:42] /i life potion
[3/3/2021 3:45:43] /i life potion
[3/3/2021 3:45:43] /i life potion
[3/3/2021 3:45:44] /i life potion
[3/3/2021 3:45:44] /i life potion
[3/3/2021 3:45:45] /i life potion/i life potion
[3/3/2021 3:45:49] /i life potion
[3/3/2021 3:45:55] /i life potion
[3/3/2021 3:45:56] /i life potion
[3/3/2021 3:45:56] /i life potion
[3/3/2021 3:45:57] /i life potion
[3/3/2021 3:46:42] /i 2145
[3/3/2021 3:46:42] /i 2145
[3/3/2021 3:46:46] /r
[3/3/2021 3:46:51] /r
[3/3/2021 3:47:22] /i star up
[3/3/2021 3:47:30] /i 1999
[3/3/2021 3:47:34] /i star up
[3/3/2021 3:49:16] /ghost
[3/3/2021 4:12:38] /goto ximbica
[3/3/2021 4:13:8] /b Pessoal irei testar a blessing! em 10 minutos volta.
[3/3/2021 4:34:6] /shutdown 3
[3/3/2021 4:37:29] /closeserver
[3/3/2021 4:37:32] /closeserver
[3/3/2021 4:37:32] /closeserver
[3/3/2021 4:37:32] /closeserver
[3/3/2021 4:37:32] /closeserver
[3/3/2021 4:37:36] /t
[3/3/2021 4:37:44] /c teste dois
[3/3/2021 4:37:47] /c teste 
[3/3/2021 4:37:50] /c teste dois
[3/3/2021 4:37:54] /c teste dois
[3/3/2021 4:38:4] /i 2160
[3/3/2021 4:38:11] /n konoha jounnin
[3/3/2021 4:38:47] /m cursed ghost
[3/3/2021 4:39:44] /shutdown
[3/3/2021 4:40:1] /closeserver
[3/3/2021 4:40:3] /closeserver
[3/3/2021 4:40:3] /closeserver
[3/3/2021 4:40:3] /closeserver
[3/3/2021 4:40:15] /m cuserd ghost
[3/3/2021 4:40:21] /m cuserd ghost
[3/3/2021 4:40:26] /m cursed ghost
[3/3/2021 4:41:43] /shutdown
[3/3/2021 4:42:0] /closeserver
[3/3/2021 4:42:2] /closeserver
[3/3/2021 4:42:2] /closeserver
[3/3/2021 4:42:2] /closeserver
[3/3/2021 4:42:2] /closeserver
[3/3/2021 4:42:2] /closeserver
[3/3/2021 4:42:3] /closeserver
[3/3/2021 4:42:7] /m tutor
[3/3/2021 4:42:41] /shutdown
[3/3/2021 4:42:57] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:42:59] /closeserver
[3/3/2021 4:43:0] /closeserver
[3/3/2021 4:43:0] /closeserver
[3/3/2021 4:43:0] /closeserver
[3/3/2021 4:43:0] /closeserver
[3/3/2021 4:44:28] /c teste
[3/3/2021 4:44:29] /c teste
[3/3/2021 4:44:31] /c teste
[3/3/2021 4:44:33] /c teste
[3/3/2021 4:44:35] /c teste 
[3/3/2021 4:44:40] /i 2160
[3/3/2021 4:44:57] /m cursed ghost
[3/3/2021 4:44:59] /m cursed ghost
[3/3/2021 4:45:0] /m cursed ghost
[3/3/2021 4:45:0] /m cursed ghost
[3/3/2021 4:45:1] /m cursed ghost
[3/3/2021 4:46:14] /shutdown
[3/3/2021 4:46:28] /closeserver
[3/3/2021 4:46:38] /m cursed ghost
[3/3/2021 4:46:38] /m cursed ghost
[3/3/2021 4:46:38] /m cursed ghost
[3/3/2021 4:46:39] /m cursed ghost
[3/3/2021 4:46:39] /m cursed ghost
[3/3/2021 4:47:28] /shutdown
[3/3/2021 4:47:45] /closeserver
[3/3/2021 4:47:52] /m cursed ghost
[3/3/2021 4:47:53] /m cursed ghost
[3/3/2021 4:47:53] /m cursed ghost
[3/3/2021 4:47:53] /m cursed ghost
[3/3/2021 4:47:54] /m cursed ghost
[3/3/2021 4:52:13] /shutdown
[3/3/2021 4:57:55] /reload actions
[3/3/2021 4:58:50] /t
[3/3/2021 4:59:47] /goto Taylor Verdinha
[3/3/2021 5:3:54] /t
[3/3/2021 5:4:6] /i 6441
[3/3/2021 5:4:9] /r
[3/3/2021 5:4:24] /i 1026
[3/3/2021 5:4:25] /i 1026
[3/3/2021 5:4:26] /i 1026
[3/3/2021 5:4:27] /a
[3/3/2021 5:5:37] /owner [FUN]Knepper.
[3/3/2021 5:5:42] /ghost
[3/3/2021 5:5:45] /owner
[3/3/2021 5:5:47] /owner [FUN]Knepper.
[3/3/2021 23:52:34] /t
[3/3/2021 23:52:35] /ghost
[3/3/2021 23:52:52] /b Batemos a marca de 50 Players Online!
[3/3/2021 23:53:14] /b Muito obrigado, pela preferencia galera, estou fazendo de tudo para melhorar!
[3/3/2021 23:53:28] /additem 11507,2
[3/3/2021 23:54:59] /b Rumo aos 70 Players agora haha!
[4/3/2021 0:57:6] /a 40
[4/3/2021 0:57:6] /a 40
[4/3/2021 0:57:6] /a 40
[4/3/2021 0:57:7] /a 40
[4/3/2021 0:57:9] /a 40
[4/3/2021 0:57:9] /a 40
[4/3/2021 0:57:10] /a 40
[4/3/2021 0:57:12] /a 40
[4/3/2021 0:57:14] /a 10
[4/3/2021 0:57:17] /a 10
[4/3/2021 0:57:18] /a 10
[4/3/2021 0:58:18] /c kazekage gaara
[4/3/2021 1:0:5] /m snake
[4/3/2021 1:0:20] /m specialist
[4/3/2021 1:12:43] /m jiroubo
[4/3/2021 1:20:55] /c teste one
[4/3/2021 1:23:23] /reload monster
[4/3/2021 1:23:37] /m jiroubou
[4/3/2021 1:23:41] /m jiroubo
[4/3/2021 1:24:57] /reload monster
[4/3/2021 1:25:42] /reload monster
[4/3/2021 1:26:40] /reload monster
[4/3/2021 1:27:43] /m jiroubo
[4/3/2021 1:27:43] /m jiroubo
[4/3/2021 1:27:44] /m jiroubo
[4/3/2021 1:29:55] /reload monster
[4/3/2021 1:31:35] /m kidoumaro
[4/3/2021 1:31:45] /m kidoumaro
[4/3/2021 1:32:9] /reload monster
[4/3/2021 1:32:35] /m kidoumaro
[4/3/2021 1:32:36] /m kidoumaro
[4/3/2021 1:32:36] /m kidoumaro
[4/3/2021 1:34:40] /m unknow
[4/3/2021 1:35:58] /reload monster
[4/3/2021 1:36:10] /m unknow
[4/3/2021 1:36:20] /m unknow
[4/3/2021 1:36:38] /reload monster
[4/3/2021 1:37:32] /m tutor
[4/3/2021 1:38:23] /reload monster
[4/3/2021 1:39:16] /reload monster
[4/3/2021 1:40:20] /reload monster
[4/3/2021 1:40:39] /m white shaolin
[4/3/2021 1:40:50] /m white shaolin
[4/3/2021 1:43:6] /m white shaolin/reload monster
[4/3/2021 1:43:11] /m white shaolin
[4/3/2021 1:43:12] /m white shaolin
[4/3/2021 1:43:13] /m white shaolin
[4/3/2021 1:44:22] /reload monster
[4/3/2021 2:55:46] /goto ichiry
[4/3/2021 2:55:50] /goto ichiry
[4/3/2021 2:55:53] /goto ichyru
[4/3/2021 3:44:8] /t
[4/3/2021 3:44:47] /goto ichyru
[4/3/2021 3:44:49] /a 2
[4/3/2021 3:44:50] /a 2
[4/3/2021 3:46:37] /reload spells
[4/3/2021 3:49:0] /t
[4/3/2021 3:49:10] /a 30
[4/3/2021 3:49:11] /a 30
[4/3/2021 3:49:11] /a 30
[4/3/2021 3:49:12] /a 30
[4/3/2021 3:49:13] /a 30
[4/3/2021 3:49:13] /a 30
[4/3/2021 3:49:15] /a 30
[4/3/2021 3:49:15] /a 30
[4/3/2021 3:49:15] /a 30
[4/3/2021 3:49:16] /a 30
[4/3/2021 3:49:19] /a 10
[4/3/2021 3:49:31] /ghost
[4/3/2021 3:49:42] /newtype 646
[4/3/2021 3:51:23] /goto bugadassa
[4/3/2021 3:51:28] /ghost
[4/3/2021 3:52:55] /a 50
[4/3/2021 3:52:55] /a 50
[4/3/2021 3:52:56] /a 50
[4/3/2021 3:52:58] /a 50
[4/3/2021 3:52:58] /a 50
[4/3/2021 3:53:0] /a 10
[4/3/2021 3:53:1] /a 10
[4/3/2021 3:53:3] /ghost
[4/3/2021 4:1:10] /newtype 23
[4/3/2021 4:1:52] /ghost
[4/3/2021 4:1:55] /goto bugadassa
[4/3/2021 4:2:9] /goto bugadassa
[4/3/2021 4:2:11] /goto bugadassa
[4/3/2021 4:2:12] /goto bugadassa
[4/3/2021 4:2:14] /goto bugadassa
[4/3/2021 4:2:19] /goto bugadassa
[4/3/2021 4:2:20] /goto bugadassa
[4/3/2021 4:2:21] /goto bugadassa
[4/3/2021 4:2:22] /goto bugadassa
[4/3/2021 4:2:23] /goto bugadassa
[4/3/2021 4:2:24] /goto bugadassa
[4/3/2021 4:2:24] /goto bugadassa
[4/3/2021 4:2:25] /goto bugadassa
[4/3/2021 4:2:26] /goto bugadassa
[4/3/2021 4:2:27] /goto bugadassa
[4/3/2021 4:2:27] /goto bugadassa
[4/3/2021 4:2:28] /goto bugadassa
[4/3/2021 4:2:38] /goto bugadassa
[4/3/2021 4:2:40] /goto bugadassa
[4/3/2021 4:2:46] /goto bugadassa
[4/3/2021 4:2:47] /goto bugadassa
[4/3/2021 4:2:48] /goto bugadassa
[4/3/2021 4:2:49] /goto bugadassa
[4/3/2021 4:2:49] /goto bugadassa
[4/3/2021 4:2:50] /goto bugadassa
[4/3/2021 4:3:15] /goto bugadassa
[4/3/2021 4:3:17] /goto bugadassa
[4/3/2021 4:3:23] /goto bugadassa
[4/3/2021 4:3:29] /t
[4/3/2021 4:9:46] /a 30
[4/3/2021 4:9:48] /a 30
[4/3/2021 4:9:48] /a 30
[4/3/2021 4:9:48] /a 30
[4/3/2021 4:9:49] /a 30
[4/3/2021 4:9:50] /a 30
[4/3/2021 4:9:51] /a 30
[4/3/2021 4:9:51] /a 30
[4/3/2021 4:9:52] /a 30
[4/3/2021 4:9:53] /a 30
[4/3/2021 4:9:55] /a 30
[4/3/2021 4:9:57] /a 10
[4/3/2021 4:9:57] /a 10
